time,husky_odom_pose_x,husky_odom_pose_y,husky_odom_pose_theta,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,filtered_odom_pose_x,filtered_odom_pose_y,filtered_odom_pose_theta
1728293499.873954,-0.03770867489323221,2.0257686558159698,0.9999635308492206,0.0005132331086021294,0.00033117468676592906,0.7806448309564307,0.6249746193375448,1.829835507384259,2.1828365528092024,0.7805209766725223
1728293499.973839,-0.08746799823561147,2.0236877116612573,0.9994479227017159,-2.917464813942714e-05,0.0008525925623952787,0.7928417950075107,0.6094269113880937,1.817858305761671,2.231788797064914,0.7929712137984023
1728293500.0740266,-0.13729626211993684,2.0191178123314106,0.998306144574618,9.148820192909046e-05,0.00029439729169364836,0.7995519210516356,0.6005968951824364,1.8044943756987797,2.2795011854198024,0.7998775602584941
1728293500.173906,-0.18686048592325216,2.012063578912814,0.9965451189829805,9.17176440098986e-05,0.000293747809771512,0.8006683236103055,0.5991077873531284,1.7903608036604652,2.3275366601873446,0.8011705505382704
1728293500.2738318,-0.23597476986314395,2.002555456910891,0.9941619527593359,9.751520675255569e-05,0.0002953662969533236,0.8028905023395915,0.5961264500946202,1.7760866281137964,2.375486493013336,0.8031549982096869
1728293500.3739526,-0.28448993177490367,1.9906210508633868,0.9911564433178784,9.059834239619126e-05,0.000299743461908529,0.8156617914615198,0.5785289481915159,1.7608244378152105,2.423066405978054,0.8154266128646731
1728293500.4738038,-0.33233930425966807,1.9762820070759364,0.9875341401041838,9.392458405491557e-05,0.00030431685343297436,0.8228337285998055,0.5682821074501351,1.7435929944755262,2.4699495068992197,0.8232450207629669
1728293500.573892,-0.3793660035603487,1.9595915749427393,0.9833060513136086,0.00013049614742857734,0.00033413486735836177,0.8228741738045211,0.5682235171217161,1.7256557776223684,2.5170523319019695,0.8234036381282379
1728293500.6738794,-0.42549844631652484,1.9405834825838482,0.9784719411038664,1.583676574498034e-05,0.0005279211553517878,0.8271584424929972,0.5619685329811713,1.7079262540692417,2.5631752035710416,0.8272184894057667
1728293500.7737994,-0.4707193272631006,1.919252828731527,0.9730064674750085,7.209712324776869e-05,0.0003026055060769997,0.8412357232693243,0.5406684391819534,1.6885150160627955,2.609247921489655,0.8409574403884026
1728293500.8739812,-0.51480082395475,1.8956981883895452,0.9669371338300172,6.594278351257237e-05,0.000305592682492708,0.8557497263667058,0.5173898994839096,1.666588278650269,2.6541590659922334,0.8556892794234924
1728293500.9739895,-0.5576397657838319,1.8699784865571287,0.9602675906070228,6.431900403521837e-05,0.00030628340811412834,0.8578765623156773,0.5138557247739641,1.6430271287847422,2.698229420484406,0.8583775623192053
1728293501.0739093,-0.5991483847132635,1.8421467669692366,0.9529966785156496,6.420458514571e-05,0.0003065547983554142,0.8578756263238331,0.513857287251449,1.619353448203893,2.742248900308434,0.858390816857648
1728293501.1739094,-0.6392235714592934,1.8122698312570946,0.945127695479195,6.390283539151363e-05,0.0003069343687120773,0.8578727214251596,0.5138621367081946,1.5956724663258197,2.7862767443157255,0.858402450997048
1728293501.2739146,-0.6777629366320431,1.7804215194442576,0.9366652917522051,6.420019265484638e-05,0.0003072165451894059,0.857866419753932,0.5138726567496078,1.5719854933074493,2.8303117371674666,0.8584104672883777
1728293501.3738017,-0.7146985809226581,1.746653213802843,0.9276390733022187,-0.0003129192873980259,-0.00015170596139029506,0.8589380184370033,0.5120794465220557,1.5482419752467402,2.874404284773301,0.8593034736450017
